donor,tissue,day,year,data,number_matched_UMIs,1_0,1_12,1_120,1_180,1_28,1_5,1_60,1_90,2_0,2_120,2_14,2_28,2_60,2_7,2_90
321-05,FNA,28,2,v1,5812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6243,NA,NA,NA
321-05,FNA,28,2,v2,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6218,NA,NA,NA
321-04,FNA,60,2,v1,1762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1834,NA,NA
321-04,FNA,60,2,v2,1759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1831,NA,NA
321-05,FNA,60,2,v1,6665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6719,NA,NA
321-05,FNA,60,2,v2,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6683,NA,NA
321-05,FNA,7,2,v1,13693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15321,NA
321-05,FNA,7,2,v2,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15262,NA
321-04,FNA,90,2,v1,2976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3004
321-04,FNA,90,2,v2,2964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2992
